Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Evan White,SEA,30,104,2,8,9,0,0.057692307,0.298076923,0.092783506,0.1875,0.144329896,0.201923076,0.237113402,0.197324225,,23.77997053,0.545239706,-9.159960123,-1.429050028,-0.704505386
Josh VanMeter,- - -,179,502,9,41,50,7,0.103585657,0.254980079,0.128089887,0.259615384,0.202247191,0.284860557,0.330337078,0.273102545,,69.167915,-0.337657094,-19.11789968,-4.747523088,-0.713190687
Gilberto Celestino,MIN,145,409,4,37,27,4,0.085574572,0.222493887,0.078378379,0.283636363,0.221621621,0.292383292,0.3,0.267717073,,72.81283478,-4.902649472,-17.88649037,-2.410405084,-0.714512855
Drew Butera,LAA,12,36,0,1,5,0,0,0.444444444,0.03125,0.176470588,0.09375,0.09090909,0.125,0.090901819,,-54.12271604,0.293154972,-6.499994721,-1.919807971,-0.72061401
Kevin Smith,- - -,108,316,8,25,25,5,0.044303797,0.310126582,0.131034483,0.231182795,0.175862068,0.217532467,0.306896551,0.228755339,,45.88355429,-0.057172856,-20.07603103,2.323361162,-0.736094914
Cal Mitchell,PIT,71,237,5,21,17,3,0.080168776,0.223628691,0.12037037,0.270440251,0.222222222,0.283898305,0.342592592,0.278020834,,74.91763372,1.088173223,-5.86703871,-9.224478289,-0.738878818
Curtis Terry,TEX,13,48,0,3,1,0,0.041666666,0.3125,0.044444445,0.133333333,0.088888888,0.145833333,0.133333333,0.132224501,,-26.04031579,0.282887412,-7.124290059,-1.896619976,-0.739662027
Eddy Alvarez,- - -,38,101,1,9,9,2,0.03960396,0.267326732,0.101123596,0.241935483,0.17977528,0.26,0.280898876,0.239975527,,47.02557234,0.032105875,-6.425069128,-4.204483926,-0.747006837
Bligh Madris,- - -,51,153,1,14,7,2,0.091503267,0.248366013,0.079136691,0.23,0.17266187,0.248366013,0.251798561,0.229218017,,41.4842392,0.357910602,-10.12158662,-2.334341973,-0.748959657
Richie Martin,BAL,50,138,1,13,11,3,0.050724637,0.275362318,0.0703125,0.3,0.21875,0.262773722,0.2890625,0.244380917,,51.3605338,-2.246223455,-10.31427776,-1.853835441,-0.751581543
Tucupita Marcano,- - -,149,447,5,41,34,7,0.058165548,0.196868008,0.103448276,0.262658227,0.216748768,0.26879271,0.320197044,0.259831421,,60.29726472,0.521732745,-20.95826308,-1.641348548,-0.752403171
Joshua Fuentes,COL,95,284,7,30,33,0,0.042253521,0.228873239,0.125461255,0.27,0.22509225,0.257042253,0.350553505,0.260780807,,46.05928563,2.218606541,-17.28360686,0.142760009,-0.760598494
