Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Dietrich Enns,TBR,2,0,2,9,0,22.1,10.07462744,2.417910585,0.402985098,0.285714286,0.69444444,0.28070175,0.03448276,94.58304947,2.820895683,,2.319287805,4.028235739,0.59341681
Cody Stashak,MIN,3,0,0,26,0,32,11.53125206,2.812500503,0.843750151,0.341176471,0.6185567,0.25,0.06818182,90.83122199,5.343750956,,2.828132474,3.804636486,0.592369601
Colin Rea,MIL,5,6,0,24,21,120,7.87500025,2.625000083,1.800000057,0.262686567,0.69587629,0.41690141,0.17021277,93.10993073,5.02500016,,5.0553264,4.415860742,0.588764109
Osvaldo Bido,PIT,2,5,0,14,8,46.2,8.485714922,3.857143146,0.771428629,0.331034483,0.60483871,0.34459459,0.07142857,94.63529576,6.364286191,,4.288386912,5.165652687,0.586013407
JoJo Romero,- - -,4,2,3,55,0,62,9.725808097,3.483871557,1.161290519,0.292993631,0.66860465,0.58641975,0.22857143,95.37968943,4.500000761,,3.982149244,3.229108681,0.582507879
Edward Cabrera,MIA,12,14,0,40,38,183.2,10.24137956,5.4882034,1.323049034,0.247619048,0.77757685,0.48409091,0.17307692,96.31570629,4.11615255,,4.915386469,4.363049894,0.58236182
Luis Gil,NYY,1,1,0,7,7,33.1,11.61000044,5.670000216,1.080000041,0.265822785,0.77294686,0.3373494,0.1,96.26314987,3.780000144,,4.123121784,4.654797011,0.571223557
Paul Fry,- - -,4,5,2,65,0,60.1,11.03867688,6.563537606,0.596685237,0.297297297,0.58441558,0.52702703,0.10810811,92.75893961,6.116023678,,4.052650255,4.25395574,0.567019389
Daulton Jefferies,OAK,2,7,0,13,9,54.1,5.963190428,1.987730143,0.828220893,0.298850575,0.61538462,0.46067416,0.07692308,92.95726693,5.134969535,,3.827720235,4.480798215,0.557081908
Jimmy Cordero,NYY,3,2,0,31,1,32.2,9.367349309,2.755102738,0.551020548,0.273809524,0.67251462,0.55813953,0.1,98.73986816,3.857143833,,3.076141891,3.296321244,0.554427683
DL Hall,BAL,3,1,1,23,1,26.2,11.81250155,3.712500487,0.675000089,0.405405405,0.67164179,0.43243243,0.08333333,95.91496094,5.400000708,,2.771780844,3.216501047,0.542633019
Trevor Cahill,PIT,1,5,0,9,8,37,7.783784386,3.405405669,0.972973048,0.330434783,0.54474708,0.55172414,0.12903226,90.97029599,6.567568075,,4.061926083,4.134770033,0.54221245
